asset_type	market	code	name	quantity	avg_price	note
STOCK	KR	5490	POSCO홀딩스	7	435500	
STOCK	KR	5930	삼성전자	4	60100	
STOCK	KR	5935	삼성전자우	5	187520	
STOCK	KR	7660	이수페타시스	5	133,960	
STOCK	KR	10780	아이에스동서	1	38450	
STOCK	KR	94360	칩스앤미디어	9	27361	
STOCK	KR	247540	에코프로비엠	4	268000	
STOCK	KR	304100	솔트룩스	3	29383	
STOCK	KR	10120	LS ELECTRIC	4	259375	
ETF	US	QQQ	Invesco QQQ Trust	1	907209	
ETF	US	SPYG	SPDR Portfolio S&P500 Growth	7	157479	
ETF	US	SCHD	Schwab U.S. Dividend Equity ETF	26	40186	
ETF	US	VOO	Vanguard S&P500 ETF	2	907785	
ETF	US	BOTT	THEMES HUMANOID ROBOTICS ETF	3	82969	
ETF	KR	360750	TIGER 미국S&P500	55	24635	
ETF	KR	426030	TIME 미국나스닥100액티브	30	35102	
ETF	KR	458730	TIGER 미국배당다우존스	56	14074	
ETF	KR	364970	TIGER 바이오TOP10	10	7520	
ETF	KR	465580	RISE 미국AI밸류체인TOP3Plus	47	17987	
ETF	KR	464310	TIGER 글로벌AI&로보틱스 INDXX	10	17165	
ETF	KR	441680	TIGER 미국나스닥100타겟데일리커버드콜	111	10719	
ETF	KR	466920	SOL AI반도체TOP2플러스	5	21215	
ETF	KR	461950	AI반도체TOP2플러스	3	45856	
CRYPTO	UPBIT	BTC	Bitcoin	0.02262805	113578728	
CRYPTO	UPBIT	XRP	Ripple	142.4412756	2104	
CRYPTO	UPBIT	ETH	Ethereum	0.0290587	3442000	
CRYPTO	UPBIT	ETH	Ethereum(Staking)	0.78055486	4210075	staking
CRYPTO	UPBIT	SOL	Solana	6.0691077	183500	staking
